Player,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
Lionel Messi,20/21,UEFA Champions League,last 16,2021-02-16,H,FC Barcelona,Paris Saint-Germain,1:04,CF ,27,1:00,Penalty,
Lionel Messi,20/21,LaLiga,24,2021-02-21,H,FC Barcelona,Cadiz CF,1:01,CF ,32,1:00,Penalty,
Cristiano Ronaldo,20/21,Serie A,23,2021-02-22,H,Juventus FC,FC Crotone,3:00,CF,45+1,2:00,Header,Aaron Ramsey
Cristiano Ronaldo,20/21,Serie A,23,2021-02-22,H,Juventus FC,FC Crotone,3:00,CF,38,1:00,Header,Alex Sandro
Lionel Messi,20/21,LaLiga,1,2021-02-24,H,FC Barcelona,Elche CF,3:00,CF ,68,2:00,Left-footed shot,Frenkie de Jong
Lionel Messi,20/21,LaLiga,1,2021-02-24,H,FC Barcelona,Elche CF,3:00,CF ,48,1:00,Left-footed shot,Martin Braithwaite
Lionel Messi,20/21,LaLiga,25,2021-02-27,A,FC Barcelona,Sevilla FC,0:02,CF ,85,0:02,Right-footed shot,Ilaix Moriba
Cristiano Ronaldo,20/21,Serie A,24,2021-02-27,A,Juventus FC,Hellas Verona,1:01,CF,49,0:01,Right-footed shot,Federico Chiesa
Cristiano Ronaldo,20/21,Serie A,25,2021-03-02,H,Juventus FC,Spezia Calcio,3:00,CF,89,3:00,Counter attack goal,Rodrigo Bentancur
Lionel Messi,20/21,UEFA Champions League,last 16,2021-03-10,A,FC Barcelona,Paris Saint-Germain,1:01,SS ,37,1:01,Long distance kick,Pedri
Cristiano Ronaldo,20/21,Serie A,27,2021-03-14,A,Juventus FC,Cagliari Calcio,1:03,CF,32,0:03,Left-footed shot,Federico Chiesa
Cristiano Ronaldo,20/21,Serie A,27,2021-03-14,A,Juventus FC,Cagliari Calcio,1:03,CF,25,0:02,Penalty,
Cristiano Ronaldo,20/21,Serie A,27,2021-03-14,A,Juventus FC,Cagliari Calcio,1:03,CF,10,0:01,Header,Juan Cuadrado
Lionel Messi,20/21,LaLiga,27,2021-03-15,H,FC Barcelona,SD Huesca,4:01,SS ,13,1:00,Left-footed shot,Sergio Busquets
Lionel Messi,20/21,LaLiga,27,2021-03-15,H,FC Barcelona,SD Huesca,4:01,SS ,90,4:01,Left-footed shot,Francisco TrincÃ£o
Lionel Messi,20/21,LaLiga,28,2021-03-21,A,FC Barcelona,Real Sociedad,1:06,SS ,56,0:04,Left-footed shot,Sergio Busquets
Lionel Messi,20/21,LaLiga,28,2021-03-21,A,FC Barcelona,Real Sociedad,1:06,SS ,89,1:06,Left-footed shot,Jordi Alba
Cristiano Ronaldo,20/21,Serie A,29,2021-04-03,A,Juventus FC,Torino FC,2:02,CF,79,2:02,Header,Giorgio Chiellini
Cristiano Ronaldo,20/21,Serie A,3,2021-04-07,H,Juventus FC,SSC Napoli,2:01,CF,13,1:00,Right-footed shot,Federico Chiesa
Lionel Messi,20/21,Copa del Rey,Final,2021-04-17,A,FC Barcelona,Athletic Bilbao,0:04,CF ,68,0:03,Left-footed shot,Frenkie de Jong
Lionel Messi,20/21,Copa del Rey,Final,2021-04-17,A,FC Barcelona,Athletic Bilbao,0:04,CF ,72,0:04,Left-footed shot,Jordi Alba
Lionel Messi,20/21,LaLiga,31,2021-04-22,H,FC Barcelona,Getafe CF,5:02,CF ,33,3:01,Left-footed shot,
Lionel Messi,20/21,LaLiga,31,2021-04-22,H,FC Barcelona,Getafe CF,5:02,CF ,8,1:00,Left-footed shot,Sergio Busquets
Lionel Messi,20/21,LaLiga,33,2021-04-29,H,FC Barcelona,Granada CF,1:02,CF ,23,1:00,Left-footed shot,Antoine Griezmann
Lionel Messi,20/21,LaLiga,34,2021-05-02,A,FC Barcelona,Valencia CF,2:03,CF ,69,1:03,Direct free kick,
Cristiano Ronaldo,20/21,Serie A,34,2021-05-02,A,Juventus FC,Udinese Calcio,1:02,CF,89,1:02,Header,Adrien Rabiot
Cristiano Ronaldo,20/21,Serie A,34,2021-05-02,A,Juventus FC,Udinese Calcio,1:02,CF,83,1:01,Penalty,
Lionel Messi,20/21,LaLiga,34,2021-05-02,A,FC Barcelona,Valencia CF,2:03,CF ,57,1:01,Left-footed shot,
Lionel Messi,20/21,LaLiga,36,2021-05-11,A,FC Barcelona,Levante UD,3:03,SS ,25,0:01,Left-footed shot,
Cristiano Ronaldo,20/21,Serie A,36,2021-05-12,A,Juventus FC,US Sassuolo,1:03,CF,45,0:02,Left-footed shot,
Cristiano Ronaldo,20/21,Serie A,37,2021-05-15,H,Juventus FC,Inter Milan,3:02,CF,24,1:00,Penalty rebound,
Lionel Messi,20/21,LaLiga,37,2021-05-16,H,FC Barcelona,Celta de Vigo,1:02,SS ,28,1:00,Header,Sergio Busquets
Cristiano Ronaldo,21/22,Premier League,4,2021-09-11,H,Manchester United,Newcastle United,4:01,CF,62,2:01,Left-footed shot,Luke Shaw
Cristiano Ronaldo,21/22,Premier League,4,2021-09-11,H,Manchester United,Newcastle United,4:01,CF,45+2,1:00,Tap-in,
Cristiano Ronaldo,21/22,UEFA Champions League,Group Stage,2021-09-14,A,Manchester United,BSC Young Boys,2:01,CF,13,0:01,Right-footed shot,Bruno Fernandes
Cristiano Ronaldo,21/22,Premier League,5,2021-09-19,A,Manchester United,West Ham United,1:02,CF,35,1:01,Right-footed shot,
Lionel Messi,21/22,UEFA Champions League,Group Stage,2021-09-28,H,Paris Saint-Germain,Manchester City,2:00,RW,74,2:00,Left-footed shot,Kylian Mbappe
Cristiano Ronaldo,21/22,UEFA Champions League,Group Stage,2021-09-29,H,Manchester United,Villarreal CF,2:01,CF,90+5,2:01,Right-footed shot,Jesse Lingard
Lionel Messi,21/22,UEFA Champions League,Group Stage,2021-10-19,H,Paris Saint-Germain,RB Leipzig,3:02,RW,67,2:02,Left-footed shot,Kylian Mbappe
Lionel Messi,21/22,UEFA Champions League,Group Stage,2021-10-19,H,Paris Saint-Germain,RB Leipzig,3:02,RW,74,3:02,Penalty,
Cristiano Ronaldo,21/22,UEFA Champions League,Group Stage,2021-10-20,H,Manchester United,Atalanta BC,3:02,CF,81,3:02,Header,Luke Shaw
Cristiano Ronaldo,21/22,Premier League,10,2021-10-30,A,Manchester United,Tottenham Hotspur,0:03,CF,39,0:01,Right-footed shot,Bruno Fernandes
Cristiano Ronaldo,21/22,UEFA Champions League,Group Stage,2021-11-02,A,Manchester United,Atalanta BC,2:02,CF,45+1,1:01,Right-footed shot,Bruno Fernandes
Cristiano Ronaldo,21/22,UEFA Champions League,Group Stage,2021-11-02,A,Manchester United,Atalanta BC,2:02,CF,90+1,2:02,Right-footed shot,Mason Greenwood
Lionel Messi,21/22,Ligue 1,14,2021-11-20,H,Paris Saint-Germain,FC Nantes,3:01,RW,87,3:01,Left-footed shot,Kylian Mbappe
Cristiano Ronaldo,21/22,UEFA Champions League,Group Stage,2021-11-23,A,Manchester United,Villarreal CF,0:02,CF,78,0:01,Right-footed shot,
Cristiano Ronaldo,21/22,Premier League,14,2021-12-02,H,Manchester United,Arsenal FC,3:02,CF,52,2:01,Right-footed shot,Marcus Rashford
Cristiano Ronaldo,21/22,Premier League,14,2021-12-02,H,Manchester United,Arsenal FC,3:02,CF,70,3:02,Penalty,
Lionel Messi,21/22,UEFA Champions League,Group Stage,2021-12-07,H,Paris Saint-Germain,Club Brugge KV,4:01,CF,76,4:01,Penalty,
Lionel Messi,21/22,UEFA Champions League,Group Stage,2021-12-07,H,Paris Saint-Germain,Club Brugge KV,4:01,CF,38,3:00,Left-footed shot,Kylian Mbappe
Cristiano Ronaldo,21/22,Premier League,16,2021-12-11,A,Manchester United,Norwich City,0:01,CF,75,0:01,Penalty,
Cristiano Ronaldo,21/22,Premier League,20,2021-12-30,H,Manchester United,Burnley FC,3:01,CF,35,3:00,Right-footed shot,
Lionel Messi,21/22,Ligue 1,23,2022-02-06,A,Paris Saint-Germain,LOSC Lille,1:05,CF,38,1:03,Left-footed shot,
Cristiano Ronaldo,21/22,Premier League,18,2022-02-15,H,Manchester United,Brighton & Hove Albion,2:00,CF,51,1:00,Right-footed shot,Scott McTominay
Cristiano Ronaldo,21/22,Premier League,29,2022-03-12,H,Manchester United,Tottenham Hotspur,3:02,CF,38,2:01,Right-footed shot,Jadon Sancho
Cristiano Ronaldo,21/22,Premier League,29,2022-03-12,H,Manchester United,Tottenham Hotspur,3:02,CF,12,1:00,Right-footed shot,Fred
Cristiano Ronaldo,21/22,Premier League,29,2022-03-12,H,Manchester United,Tottenham Hotspur,3:02,CF,81,3:02,Header,Alex Telles
Lionel Messi,21/22,Ligue 1,30,2022-04-03,H,Paris Saint-Germain,FC Lorient,5:01,RW,73,4:01,Left-footed shot,Kylian Mbappe
Cristiano Ronaldo,21/22,Premier League,33,2022-04-16,H,Manchester United,Norwich City,3:02,CF,32,2:00,Header,Alex Telles
Cristiano Ronaldo,21/22,Premier League,33,2022-04-16,H,Manchester United,Norwich City,3:02,CF,76,3:02,Direct free kick,
Cristiano Ronaldo,21/22,Premier League,33,2022-04-16,H,Manchester United,Norwich City,3:02,CF,7,1:00,Right-footed shot,Anthony Elanga
Cristiano Ronaldo,21/22,Premier League,34,2022-04-23,A,Manchester United,Arsenal FC,3:01,CF,34,2:01,Left-footed shot,Nemanja MatiÄ‡
Lionel Messi,21/22,Ligue 1,34,2022-04-23,H,Paris Saint-Germain,RC Lens,1:01,RW,68,1:00,Left-footed shot,Neymar
Cristiano Ronaldo,21/22,Premier League,37,2022-04-28,H,Manchester United,Chelsea FC,1:01,CF,62,1:01,Right-footed shot,Nemanja MatiÄ‡
Cristiano Ronaldo,21/22,Premier League,35,2022-05-02,H,Manchester United,Brentford FC,3:00,CF,61,2:00,Penalty,
Lionel Messi,21/22,Ligue 1,37,2022-05-14,A,Paris Saint-Germain,Montpellier,0:04,CF,6,0:01,Left-footed shot,Kylian Mbappé
Lionel Messi,21/22,Ligue 1,37,2022-05-14,A,Paris Saint-Germain,Montpellier,0:04,CF,20,0:02,Left-footed shot,Kylian Mbappé
Lionel Messi,21/22,Trophée des Champions,Final,2022-07-31,H,Paris Saint-Germain,FC Nantes,4:00,CF,22,1:00,Right-footed shot,
Lionel Messi,22/23,Troph�e des Champions,Final,2022-07-31,H,Paris Saint-Germain,FC Nantes,4:00,CF,22,1:00,Right-footed shot,
Lionel Messi,21/22,Ligue 1,1,2022-08-06,A,Paris Saint-Germain,Clermont Foot,0:05,CF,80,0:04,Left-footed shot,Neymar
Lionel Messi,21/22,Ligue 1,1,2022-08-06,A,Paris Saint-Germain,Clermont Foot,0:05,CF,86,0:05,Left-footed shot,Leandro Paredes
Lionel Messi,22/23,Ligue 1,1,2022-08-06,A,Paris Saint-Germain,Clermont Foot,0:05,CF,80,0:04,Left-footed shot,Neymar
Lionel Messi,22/23,Ligue 1,1,2022-08-06,A,Paris Saint-Germain,Clermont Foot,0:05,CF,86,0:05,Left-footed shot,Leandro Paredes
Lionel Messi,22/23,Ligue 1,3,2022-08-21,A,Paris Saint-Germain,LOSC Lille,1:07,AM,27,0:02,Right-footed shot,Nuno Mendes
Lionel Messi,22/23,Champions League,Group Stage,2022-09-14,A,Paris Saint-Germain,Maccabi Haifa,1:03,SS,37,1:01,Left-footed shot,
Cristiano Ronaldo,22/23,Europa League,Group Stage,2022-09-15,A,Manchester United,FC Sheriff,0:02,CF,39,0:02,Penalty,
Lionel Messi,22/23,Ligue 1,8,2022-09-18,A,Paris Saint-Germain,Olympique Lyon,0:01,AM,5,0:01,Left-footed shot,Neymar
Lionel Messi,22/23,Ligue 1,9,2022-10-01,H,Paris Saint-Germain,OGC Nice,2:1,AM,28,1:0,Direct free kick,
Lionel Messi,22/23,UEFA Champions League,Group Stage,2022-10-05,A,Paris Saint-Germain,SL Benfica,1:1,AM,22,0:1,Left-footed shot,Neymar
Cristiano Ronaldo,22/23,Premier League,10,2022-10-09,A,Manchester United,Everton FC,1:2,,44,1:2,Counter attack goal,Casemiro
Lionel Messi,22/23,Ligue 1,12,2022-10-21,A,Paris Saint-Germain,AC Ajaccio,0:3,CF,78,0:2,Left-footed shot,Kylian Mbappe
Lionel Messi,22/23,UEFA Champions League,Group Stage,2022-10-25,H,Paris Saint-Germain,Maccabi Haifa,7:2,SS,44,4:1,Left-footed shot,Kylian Mbappe
Lionel Messi,22/23,UEFA Champions League,Group Stage,2022-10-25,H,Paris Saint-Germain,Maccabi Haifa,7:2,SS,19,1:0,Left-footed shot,Kylian Mbappe
Cristiano Ronaldo,22/23,Europa League,Group Stage,2022-10-27,H,Manchester United,FC Sheriff,3:0,CF,81,3:0,Left-footed shot,
Lionel Messi,22/23,Ligue 1,13,2022-10-29,H,Paris Saint-Germain,ESTAC Troyes,4:3,RW,55,2:2,Left-footed shot,Sergio Ramos
